player,score
"['agent_Ann', 'Trang9PM_1905', 'longlee', 'agent_Chi']","[15, 11, 6, 3]"
"['agent_Ann', 'longlee', 'Trangold', 'agent_Chi']","[16, 12, 10, 8]"
"['Viet_Anh', 'agent_Ann', 'agent_Chi', 'longlee']","[18, 11, 9, 8]"
"['agent_Ann', 'Trang9PM_1905', 'phi', 'agent_Chi']","[15, 10, 5, 3]"
"['Trangold', 'agent_Ann', 'phi', 'agent_Chi']","[20, 16, 12, 8]"
"['agent_Ann', 'phi', 'agent_Chi', 'Viet_Anh']","[16, 12, 10, 8]"
"['Trang9PM_1905', 'agent_Ann', 'Trangold', 'agent_Chi']","[16, 9, 8, 6]"
"['Viet_Anh', 'agent_Ann', 'Trang9PM_1905', 'agent_Chi']","[16, 10, 8, 7]"
"['agent_Ann', 'Trangold', 'Viet_Anh', 'agent_Chi']","[19, 13, 11, 3]"
"['agent_Hoang', 'agent_Hieuuu', 'agent_Ann', 'agent_Hieu_val']","[16, 12, 10, 10]"
"['agent_Hieu_val', 'agent_Ann', 'agent_Hieuuu', 'agent_HungThom']","[15, 12, 9, 7]"
"['agent_Hieu_val', 'agent_Ann', 'agent_Khanh', 'agent_Hieuuu']","[15, 12, 10, 9]"
"['agent_Ann', 'agent_Hieuuu', 'agent_Hieu_val', 'agent_MA']","[20, 18, 15, 14]"
"['agent_Hieuuu', 'agent_Ann', 'agent_NA', 'agent_Hieu_val']","[15, 12, 11, 10]"
"['agent_Hieuuu', 'agent_Hieu_val', 'agent_NhatMinh', 'agent_Ann']","[16, 13, 13, 9]"
"['agent_Ann', 'agent_Hieu_val', 'agent_Phong', 'agent_Hieuuu']","[16, 15, 12, 9]"
"['agent_Ann', 'agent_Hieuuu', 'agent_Hieu_val', 'agent_random']","[18, 16, 11, 2]"
"['agent_Ann', 'agent_Hieu_val', 'agent_Thu_Trang', 'agent_Hieuuu']","[17, 9, 9, 4]"
"['agent_Ann', 'agent_Hieuuu', 'agent_TongMinh', 'agent_Hieu_val']","[18, 13, 13, 12]"
"['agent_Hieuuu', 'agent_Hieu_val', 'agent_Ann', 'agent_xung']","[15, 9, 4, 4]"
"['agent_Hieuuu', 'agent_Ann', 'agent_Hieu_val', 'Dat']","[17, 14, 14, 7]"
